iter,Loss,L1,mask,SSIM,LPIPS
1850,"tensor([0.0248], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0060, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9726, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0250], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1851,"tensor([0.0260], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9488, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0423], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1852,"tensor([0.0269], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0104, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9395, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0441], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1853,"tensor([0.0266], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9507, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0470], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1854,"tensor([0.0256], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9519, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0357], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1855,"tensor([0.0273], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9481, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0393], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1856,"tensor([0.0263], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9584, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0439], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1857,"tensor([0.0302], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9563, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0380], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1858,"tensor([0.0281], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9588, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0337], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1859,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0130, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9483, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0458], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1860,"tensor([0.0293], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9562, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0424], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1861,"tensor([0.0235], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9466, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0532], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1862,"tensor([0.0264], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0141, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9488, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0427], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1863,"tensor([0.0282], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0101, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0091, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9507, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0432], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1864,"tensor([0.0261], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9603, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0436], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1865,"tensor([0.0281], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9543, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0374], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1866,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9584, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0380], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1867,"tensor([0.0266], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9482, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0512], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1868,"tensor([0.0271], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0127, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9534, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0445], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1869,"tensor([0.0232], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0131, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9576, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0424], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1870,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9561, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0411], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1871,"tensor([0.0291], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9508, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0341], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1872,"tensor([0.0286], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9576, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0354], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1873,"tensor([0.0250], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9489, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0463], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1874,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9552, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0454], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1875,"tensor([0.0270], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0094, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9436, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0400], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1876,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9569, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0434], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1877,"tensor([0.0244], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9601, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0404], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1878,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0136, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9529, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0474], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1879,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9614, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0395], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1880,"tensor([0.0248], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9593, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0405], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1881,"tensor([0.0256], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0080, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9527, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0402], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1882,"tensor([0.0255], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0088, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9543, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0364], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1883,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9586, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0414], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1884,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0099, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9621, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0391], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1885,"tensor([0.0289], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0064, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0070, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9669, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0261], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1886,"tensor([0.0248], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0143, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9412, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0529], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1887,"tensor([0.0251], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0070, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9634, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0285], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1888,"tensor([0.0271], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9523, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0424], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1889,"tensor([0.0300], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0098, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9571, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0339], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1890,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9461, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0459], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1891,"tensor([0.0240], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0061, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0065, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9711, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0255], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1892,"tensor([0.0218], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9562, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0445], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1893,"tensor([0.0291], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9637, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0312], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1894,"tensor([0.0228], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0114, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9572, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0389], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1895,"tensor([0.0256], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9605, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0402], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1896,"tensor([0.0274], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9469, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0455], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1897,"tensor([0.0265], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9571, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0350], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1898,"tensor([0.0235], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9507, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0507], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1899,"tensor([0.0235], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9584, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0453], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1900,"tensor([0.0263], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9572, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0488], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1901,"tensor([0.0235], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9617, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0391], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1902,"tensor([0.0229], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0101, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0105, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9425, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0532], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1903,"tensor([0.0256], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9566, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0457], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1904,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9577, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0366], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1905,"tensor([0.0295], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9523, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0378], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1906,"tensor([0.0233], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9534, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0412], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1907,"tensor([0.0272], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9472, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0430], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1908,"tensor([0.0247], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9584, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0333], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1909,"tensor([0.0305], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9531, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0365], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1910,"tensor([0.0243], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0143, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9511, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0488], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1911,"tensor([0.0242], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9668, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0274], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1912,"tensor([0.0253], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9531, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0408], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1913,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0091, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9432, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0536], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1914,"tensor([0.0262], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0092, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9539, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0439], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1915,"tensor([0.0298], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9594, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0370], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1916,"tensor([0.0237], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9633, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0388], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1917,"tensor([0.0246], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0059, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0054, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9727, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0246], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1918,"tensor([0.0221], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9614, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0416], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1919,"tensor([0.0238], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9548, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0440], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1920,"tensor([0.0260], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9437, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0406], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1921,"tensor([0.0234], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9599, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0411], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1922,"tensor([0.0254], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9574, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0420], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1923,"tensor([0.0231], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9628, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0385], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1924,"tensor([0.0241], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9564, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0406], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1925,"tensor([0.0285], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9558, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0349], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1926,"tensor([0.0218], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0116, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9556, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0408], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
1927,"tensor([0.0285], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.9653, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.0308], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
