iter,Loss,L1,mask,SSIM,LPIPS
34,"tensor([0.0680], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0336, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1073, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8278, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1910], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
35,"tensor([0.0643], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0300, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1098, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8367, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.2125], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
36,"tensor([0.0629], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0291, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1076, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8393, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1961], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
37,"tensor([0.0575], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0226, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.0965, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8667, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1626], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
38,"tensor([0.0670], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0349, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1119, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8154, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1982], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
39,"tensor([0.0638], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0344, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1000, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8187, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1872], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
40,"tensor([0.0635], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0300, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1082, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8410, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1912], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
41,"tensor([0.0612], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0244, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1060, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8639, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1704], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
42,"tensor([0.0622], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0290, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1045, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8513, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1771], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
43,"tensor([0.0618], device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0266, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.1147, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(0.8450, device='cuda:0', grad_fn=<MeanBackward0>)","tensor([0.1869], device='cuda:0', grad_fn=<ReshapeAliasBackward0>)"
